
"Powerstar Pinetown TCD";;;;
"Unit Number";"▲Last update time";"Vehicle Last Status";"Vehicle Actual Last Address";Difference
10633;"13:52 18.02.2026";"Parking 00  d 4 h 12 min";"South Africa, Vaalbank, N4Geofence: Gauteng";79:43:32
10473;"14:34 18.02.2026";Stopped;"South Africa, Madibeng Local Municipality, Mooinooi, Madibeng Ward 27Geofence: North West";79:01:43
10562;"10:48 19.02.2026";"Parking 00  d 1 h 59 min";"South Africa, 1600, Elandsfontein Rail, Graniet StreetGeofence: Gauteng";58:47:41
10258;"08:26 20.02.2026";"Parking 1 d 22 h 39 min";"South Africa, Victor Khanye Local Municipality, Victor Khanye Ward 7Geofence: Mpumalanga";37:09:42
10412;"08:39 20.02.2026";"Parking 2 d 23 h 45 min";"South Africa, 3620, eThekwini Ward 16, Wiltshire RoadGeofence: Natal, ROADHOGS";36:56:22
9743;"10:42 20.02.2026";"Moving 25 km/h";"South Africa, Greater Tubatse Local Municipality, Greater Tubatse Ward 31, D1335Geofence: Limpopo";34:53:43
10634;"12:19 20.02.2026";"Parking 15 d 4 h 05 min";"South Africa, 0167, Tshwane Ward 86, Vonkprop RoadGeofence: Gauteng";33:16:35
9678;"13:38 20.02.2026";"Parking 00  d 1 h 06 min";"South Africa, Joe Morolong Local Municipality, Joe Morolong Ward 4Geofence: Northen Cape";31:57:31
9677;"14:14 20.02.2026";"Moving 20 km/h";"South Africa, George, George Local Municipality, George Ward 25Geofence: Western Cape";31:21:34
"10416 - 1627";"15:02 20.02.2026";"Parking 00  d 4 h 54 min";"South Africa, 3200, Pietermaritzburg, Meadows, C.B. Downes RoadGeofence: Natal, powerstar PMB almighty equipment";30:33:22
9748;"15:48 20.02.2026";"Parking 00  d 1 h 03 min";"South Africa, Govan Mbeki Local Municipality, Govan Mbeki Ward 5Geofence: Mpumalanga";29:46:59
9830;"15:58 20.02.2026";"Parking 00  d 1 h 11 min";"South Africa, 9786, Senqu Local Municipality, Barkly East, Senqu Ward 19, Copeland StreetGeofence: Eastern Cape";29:36:50
10438;"16:43 20.02.2026";"Parking 00  d 1 h 15 min";"South Africa, 0154, Golden Fields Estate, Tshwane Ward 78, Park Avenue NorthGeofence: Gauteng, powerstar CENTURION handax machinery";28:52:24
10172;"17:49 20.02.2026";"Parking 00  d 1 h 19 min";"South Africa, Mogale City Local Municipality, Mogale City Ward 30, N14Geofence: Gauteng";27:45:57
10176;"18:22 20.02.2026";"Parking 00  d 1 h 42 min";"South Africa, Emalahleni Local Municipality, Emalahleni Ward 32, R547Geofence: Mpumalanga";27:13:11
9862;"20:31 20.02.2026";"Parking 2 d 10 h 43 min";"South Africa, 4182, uMdoni Local Municipality, Scottburgh, Scottburgh South, N2Geofence: Natal";25:04:15
10460;"03:29 21.02.2026";"Parking 2 d 17 h 47 min";"South Africa, 0154, Golden Fields Estate, Tshwane Ward 78, Park Avenue NorthGeofence: Gauteng, powerstar CENTURION handax machinery";18:06:30
9829;"09:19 21.02.2026";"Moving 17 km/h";"South Africa, Lekwa Local Municipality, Lekwa Ward 12Geofence: Mpumalanga";12:16:40
10318;"09:46 21.02.2026";"Parking 00  d 1 h 43 min";"South Africa, Thembisile Hani Local Municipality, Thembisile Hani Ward 14Geofence: Mpumalanga";11:49:36
