
"Powerstar Pinetown TCD";;;;
"Unit Number";"▲Last update time";"Vehicle Last Status";"Vehicle Actual Last Address";Difference
10036;"14:55 17.10.2025";"Moving 48 km/h";"South Africa, Lekwa Local Municipality, Lekwa Ward 12, R35Geofence: Mpumalanga";3046:18:42
10501;"14:29 22.12.2025";"Parking 59 d 20 h 57 min";"South Africa, 0690, Polokwane, Polokwane Ward 23, Nelson Mandela DriveGeofence: Limpopo";1462:44:38
9969;"18:55 29.12.2025";"Moving 43 km/h";"Eswatini, Buhleni, MR6Geofence: Mpumalanga";1290:18:32
10590;"18:59 28.01.2026";"Parking 00  d 10 h 49 min";"South Africa, 8801, Upington, ǁKhara Hais Ward 8, Dorper StreetGeofence: Northen Cape";570:14:26
9679;"13:16 29.01.2026";"Parking 24 d 6 h 27 min";"South Africa, Vaalbank, N4Geofence: Gauteng";551:58:11
10640;"15:39 02.02.2026";"Parking 00  d 2 h 05 min";"South Africa, 0082, Pretoria, Hermanstad, Taljaard StreetGeofence: Gauteng";453:34:25
10678;"15:44 02.02.2026";"Parking 00  d 2 h 04 min";"South Africa, 0082, Pretoria, Hermanstad, Taljaard StreetGeofence: Gauteng";453:29:23
9764;"15:34 03.02.2026";"Parking 5 d 00  h 31 min";"South Africa, Steve Tshwete Local Municipality, Steve Tshwete Ward 11Geofence: Mpumalanga";429:39:36
10346;"05:37 07.02.2026";"Parking 9 d 21 h 30 min";"South Africa, Mkhondo Local Municipality, Piet Retief, Mkhondo Ward 8, D395Geofence: Mpumalanga";343:36:49
9765;"08:49 11.02.2026";"Parking 00  d 00  h 26 min";"South Africa, Steve Tshwete Local Municipality, Steve Tshwete Ward 11Geofence: Mpumalanga";244:24:31
10409;"09:09 11.02.2026";"Parking 14 d 1 h 05 min";"South Africa, Mkhondo Local Municipality, Piet Retief, Mkhondo Ward 8, D395Geofence: Mpumalanga";244:04:21
9879;"09:09 14.02.2026";"Parking 00  d 00  h 38 min";"South Africa, 2382, Mkhondo Local Municipality, Mkhondo Ward 4Geofence: Mpumalanga";172:04:56
10641;"07:12 19.02.2026";"Parking 5 d 21 h 08 min";"South Africa, 2380, Mkhondo Local Municipality, Piet Retief, Mkhondo Ward 7Geofence: Mpumalanga";54:01:35
10674;"14:00 19.02.2026";"Parking 1 d 4 h 19 min";"South Africa, 0082, Pretoria, Hermanstad, Rood StreetGeofence: Gauteng";47:13:32
